"Plotname","easting","northing","richness","altitude","TCI"
"SD117",217.1035,3180.4886,22,1.0969,1.28
"SD118",217.9035,3180.5886,9,0.8794,1.31
"SD119",219.1035,3180.9886,9,0.7517,1.01
"SD120",219.4035,3181.5886,15,0.8233,1.05
"SD121",219.4035,3182.2886,10,0.8846,1.32
"SD122",219.4035,3182.4886,15,0.9198,1.18
"SD123",219.5035,3182.8886,4,1.0059,1.66
"SD124",219.4035,3183.1886,23,1.213,1.48
"SD125",219.4035,3183.3886,14,1.2104,1.6
"SD126",219.3035,3183.6886,18,1.3067,1.35
"SD127",219.3035,3183.7886,24,1.3134,1.41
"SD128",217.3035,3166.8886,18,0.4911,1.01
"SM001",219.7035,3156.8886,18,0.3733,1.12
"SM003",218.7035,3182.1886,3,1.2218,1.33
"SM004",218.5035,3182.2886,15,1.1906,1.31
"SM005",218.8035,3182.7886,39,1.3031,1.97
"SM006",218.8035,3182.0886,18,1.1294,1.48
"SM008",223.7035,3190.5886,55,0.5197,1.5
"SM009",219.2035,3190.0886,14,0.9376,1.18
"SM010",219.1035,3190.2886,33,0.9005,1.34
"SM011",224.2035,3158.7886,23,0.7816,1.06
"SP184",219.1035,3171.4886,12,0.7265,1.01
"SP185",230.4035,3168.0886,10,0.0367,1.02
"SP186",229.6035,3168.0886,11,0.2109,1.16
"SP187",229.1035,3167.4886,14,0.3196,1
"SP188",228.5035,3167.2886,18,0.4697,1.08
"SP189",228.3035,3166.9886,17,0.5475,1.1
"SP190",227.8035,3167.1886,19,0.617,1.02
"SP191",227.7035,3167.4886,14,0.6049,1.18
"SP192",227.5035,3167.8886,13,0.688,1.07
"SP193",227.6035,3167.5886,14,0.6709,1.21
"SP194",226.8035,3167.3886,11,0.8635,1.06
"SP195",226.4035,3167.3886,9,0.9467,1.19
"SP196",226.1035,3168.1886,12,0.9914,1.04
"SP197",226.0035,3168.1886,13,1.0064,1.03
"SP198",225.7035,3167.8886,15,1.0853,1.03
"SP199",226.6035,3167.1886,12,0.8552,1.06
"SP200",226.1035,3166.5886,13,0.9598,1.03
"SP201",225.9035,3167.3886,24,1.0451,1.04
"SP202",225.5035,3166.9886,13,1.1513,1.08
"SP203",225.2035,3166.7886,16,1.2868,1.08
"SP204",225.2035,3166.5886,13,1.2959,1.08
"SP206",208.8035,3184.7886,15,0.7083,1.21
"SP207",208.6035,3184.2886,17,0.5623,1.06
"SP208",208.9035,3184.1886,22,0.5582,1.22
"SP209",209.0035,3184.1886,19,0.6296,1.26
"SP210",208.6035,3183.9886,15,0.5234,1.3
"SP211",208.7035,3183.7886,12,0.4962,1.29
"SP213",208.8035,3183.8886,24,0.579,1.26
"SP214",208.9035,3183.8886,25,0.6053,1.38
"SP215",208.1035,3184.8886,20,0.5893,1.15
"SP216",207.7035,3185.6886,12,0.5506,1.18
"SP217",208.0035,3185.8886,13,0.6056,1.16
"SP218",207.3035,3186.1886,16,0.4162,1.22
"SP219",207.2035,3185.2886,15,0.3756,1.1
"SP220",207.2035,3184.9886,11,0.3399,1.14
"SP221",207.0035,3185.0886,10,0.2613,1.16
"SP222",206.6035,3184.9886,12,0.1343,1.47
"SP223",206.6035,3184.5886,11,0.0014,1.42
"SP224",206.6035,3184.4886,9,0.0036,1.49
"SP225",207.6035,3184.5886,17,0.3348,1.26
"SP226",207.5035,3184.5886,14,0.3169,1.12
"SP227",208.2035,3183.8886,22,0.342,1.33
"SP228",208.2035,3183.9886,23,0.3837,1.34
"SP229",208.1035,3183.6886,17,0.3469,1.42
"SP230",207.6035,3184.1886,9,0.3169,1.03
"SP231",207.9035,3186.8886,18,0.4735,1.02
"SP232",209.0035,3187.4886,6,0.5882,1.01
"SP233",228.5035,3174.9886,15,0.3558,1.34
"SP234",228.7035,3174.8886,15,0.3461,1.3
"SP235",228.9035,3174.8886,13,0.3077,1.59
"SP236",228.4035,3175.0886,16,0.3654,1.13
"SP237",229.3035,3176.0886,14,0.0831,1.08
"SP238",229.4035,3174.0886,21,0.0466,1.14
"SP239",229.5035,3173.5886,14,0.0661,1.05
